YEAR,QUARTER,AIRLINE NAME,CITY1,CITY2,PASSENGERS ON WAY,PASSENGERS RETURN,FREIGHT FROM CITY1 TO CITY2,FREIGHT FROM CITY2 TO CITY1
2015,Q1,AIR INDIA,ABUDHABI,AHMEDABAD,12764,15358,15.5,64.9
2015,Q1,AIR INDIA EXPRESS,ABUDHABI,BENGALURU,27341,35988,372.5,442.1
2015,Q1,INDIGO,ABUDHABI,CHENNAI,31756,32593,65.8,97
2015,Q1,JET AIRWAYS,ABUDHABI,DELHI,66416,65956,1542.3,1683.5
2015,Q1,SPICEJET,ABUDHABI,GOA,8408,12593,18.8,0
2015,Q1,AEROFLOT,ABUDHABI,HYDERABAD,37265,44645,197.1,562.2
2015,Q1,AEROLOGIC,ABUDHABI,JAIPUR,9437,10859,12.4,42.4
2015,Q1,AIR ARABIA,ABUDHABI,KOCHI,34055,41972,33.1,273.9
2015,Q1,AIR ASIA BERHAD,ABUDHABI,KOLKATA,1580,1799,0.5,14.5
2015,Q1,AIR AUSTRAL,ABUDHABI,KOZHIKODE,31618,41032,7.7,480.5
2015,Q1,AIR CHINA,ABUDHABI,LUCKNOW,12961,13549,0.4,113.6
2015,Q1,AIR FRANCE,ABUDHABI,MANGALORE,2813,3654,0,1
2015,Q1,AIR MANAS,ABUDHABI,MUMBAI,65961,80696,1118.2,1940.8
2015,Q1,AIR MAURITIUS,ABUDHABI,PUNE,161,415,0,0
2015,Q1,AIR ASTANA,ABUDHABI,TRIVANDRUM,21249,26012,9.4,225.9
2015,Q1,AIR SEYCHELLES,ADDIS ABABA,CHENNAI,0,0,0,92.1
2015,Q1,ALL NIPPON AIRWAYS,ADDIS ABABA,DELHI,10849,12192,38.3,37.4
2015,Q1,ARIANA AFGHAN,ADDIS ABABA,MUMBAI,16326,20996,116,2622.9
2015,Q1,ASIANA AIRLINES,ADEN,MUMBAI,3299,2199,0,31.8
2015,Q1,AUSTRIAN AIRLINES,AL AIN,KOZHIKODE,1574,1945,0,0
2015,Q1,BANGKOK AIRWAYS,ALMATY,DELHI,6582,8318,5.7,84.5
2015,Q1,BHUTAN AIRLINES,AMSTERDAM,CHENNAI,0,0,1384.7,899.6
2015,Q1,BIMAN BANGLADESH,AMSTERDAM,DELHI,42570,47771,661.1,1540.1
2015,Q1,BRITISH AIRWAYS,AMSTERDAM,MUMBAI,22640,23140,950.2,1978.6
2015,Q1,BUDHHA AIR,ASHGABAT,AMRITSAR,11182,10023,0,14.9
2015,Q1,CATHAY PACIFIC,ASHGABAT,DELHI,2540,2374,0,29.4
2015,Q1,CHINA AIRLINES LTD,BAHRAIN,BENGALURU,0,0,1,0
2015,Q1,CHINA EASTERN AIRLINES,BAHRAIN,CHENNAI,15610,17569,6.4,180.3
2015,Q1,CHINA SOUTHERN ,BAHRAIN,DELHI,31214,32057,80.8,444.5
2015,Q1,DELTA AIRLINES,BAHRAIN,HYDERABAD,7687,9198,0.4,0.1
2015,Q1,DRAGON AIR,BAHRAIN,KOCHI,13940,15684,45.2,205.5
2015,Q1,DRUK AIR,BAHRAIN,KOZHIKODE,4044,6161,0,0
2015,Q1,EGYPT AIR,BAHRAIN,MANGALORE,1863,3030,0,0
2015,Q1,EL-AL-ISRAEL,BAHRAIN,MUMBAI,27815,36746,446.6,821.7
2015,Q1,EMIRATES AIRLINE,BAHRAIN,TRIVANDRUM,11914,13082,5.2,257.4
2015,Q1,ETHIOPIAN AIRLINES,BANGKOK,AHMEDABAD,2249,0,0,0
2015,Q1,ETIHAD AIRLINES,BANGKOK,BENGALURU,21342,22777,1067.3,1162.1
2015,Q1,EVA AIRWAYS,BANGKOK,CHENNAI,17876,19926,1113.7,1404.5
2015,Q1,FEDERAL EXPRESS,BANGKOK,DELHI,83219,87007,2165.1,1202.7
2015,Q1,FINN AIR,BANGKOK,GAYA,6254,4119,0,0
2015,Q1,FLY DUBAI,BANGKOK,HYDERABAD,11836,14140,308,557.7
2015,Q1,GULF AIR,BANGKOK,KOLKATA,65213,64024,1028.2,1038.7
2015,Q1,IRAN AIR,BANGKOK,MUMBAI,90096,94099,3127.2,1925.7
2015,Q1,IRAQI AIRWAYS,BANGKOK,VARANASI,1283,3654,0,0
2015,Q1,ISLAND AVIATION SERVICES,BIRMINGHAM,AMRITSAR,6260,4876,0,0
2015,Q1,JAPAN AIRLINES,BIRMINGHAM,DELHI,11962,12024,93.8,108.4
2015,Q1,KALITTA AIR,BISHKEK,DELHI,609,818,0,131.2
2015,Q1,KAM AIR,BRUSELLS,DELHI,9010,11692,643.9,620.8
2015,Q1,KENYA AIRWAYS,BRUSELLS,MUMBAI,12256,13480,844,520.6
2015,Q1,KLM AIRLINES,CAIRO,MUMBAI,2427,3529,29.1,31.5
2015,Q1,KOREAN AIR,CHICAGO,DELHI,16671,20207,485.5,373.2
2015,Q1,KUWAIT AIRWAYS,CHICAGO,HYDERABAD,4150,5116,0,0
2015,Q1,LUFTHANSA,CHITTAGONG,KOLKATA,5861,6001,0,0
2015,Q1,MAHAN AIR,COLOGNE,MUMBAI,0,0,37.3,1230.4
2015,Q1,MALAYSIA AIRLINES,COLOMBO,BENGALURU,16087,16997,934.4,1202.3
2015,Q1,MALINDO AIRWAYS,COLOMBO,CHENNAI,77904,81321,1092.3,2003.1
2015,Q1,MARTIN AIR HOLLAND,COLOMBO,DELHI,11067,11515,104.1,186.5
2015,Q1,MIHIN LANKA,COLOMBO,GAYA,1333,950,0,0
2015,Q1,MYANMAR AIRLINES,COLOMBO,KOCHI,17116,20771,120.9,487.7
2015,Q1,NEPAL AIRLINES CORPORATION,COLOMBO,MADURAI,14295,14441,0,0
2015,Q1,OMAN AIR,COLOMBO,MUMBAI,35501,37469,370.6,351.2
2015,Q1,PAK INTERNATIONAL,COLOMBO,TIRUCHIRAPALLY,21806,23883,4,399.9
2015,Q1,QATAR AIRWATYS,COLOMBO,TRIVANDRUM,11945,10793,9.9,240.5
2015,Q1,REGENT AIRWAYS,COLOMBO,VARANASI,1418,1362,0,0
2015,Q1,SAFI AIRWAYS,DAMMAM,BENGALURU,386,466,0,72.1
2015,Q1,SAUDIA,DAMMAM,CHENNAI,777,674,25.3,52
2015,Q1,SILK AIR,DAMMAM,DELHI,27388,31116,101.2,155
2015,Q1,SINGAPORE AIRLINES,DAMMAM,HYDERABAD,4458,3818,0,3
2015,Q1,SOUTHA AFRICAN AIRLINES,DAMMAM,KOCHI,9664,10774,28.9,302.1
2015,Q1,SRILNKAN AIRWAYS,DAMMAM,KOZHIKODE,12294,14095,0.1,184.2
2015,Q1,SWISS AIR,DAMMAM,MANGALORE,3885,4232,0,0
2015,Q1,TAJIK AIR,DAMMAM,MUMBAI,17995,20836,37.2,358.9
2015,Q1,THAI AIRWAYS,DAMMAM,TRIVANDRUM,13432,14047,2.9,183.1
2015,Q1,TIGER AIRWAYS,DHAKA,CHENNAI,4046,3127,14.6,123.9
2015,Q1,TRANSAERO AIRLINES,DHAKA,DELHI,13880,12488,192.1,294.7
2015,Q1,TURKISH AIRLINES,DHAKA,KOLKATA,38733,41668,216.7,501.3
2015,Q1,TURKMENISTAN AIRLINES,DHAKA,MUMBAI,13837,12389,200.8,133
2015,Q1,UNITED AIRLINES,DOHA,AHMEDABAD,12235,15357,78.6,423.2
2015,Q1,UNITED AIRLINES BANGLADESH LTD.,DOHA,AMRITSAR,14951,13431,3.6,27.1
2015,Q1,UNITED PARCEL SERVICES,DOHA,BENGALURU,17821,20341,1160.6,1382.4
2015,Q1,UZBEKISTAN AIRWAYS,DOHA,CHENNAI,20714,24022,2834.5,3577.5
2015,Q1,VIRGIN ATLANTIC AIRLINES,DOHA,DELHI,54826,56266,1722,4068.2
2015,Q1,YEMENIA AIRWAYS,DOHA,GOA,12141,15021,4.6,160.7
2015,Q1,AIR INDIA,DOHA,HYDERABAD,13651,14545,151.1,532.4
2015,Q1,AIR INDIA EXPRESS,DOHA,KOCHI,41743,51350,72.4,1859
2015,Q1,INDIGO,DOHA,KOLKATA,10262,11707,628.2,522.8
2015,Q1,JET AIRWAYS,DOHA,KOZHIKODE,23346,25108,3.9,165.6
2015,Q1,SPICEJET,DOHA,MANGALORE,2301,3867,0,0
2015,Q1,AEROFLOT,DOHA,MUMBAI,49362,61336,2312.7,3917.2
2015,Q1,AEROLOGIC,DOHA,TRIVANDRUM,13754,16257,3.8,295.2
2015,Q1,AIR ARABIA,DUBAI,AHMEDABAD,48417,53741,603.3,1640.7
2015,Q1,AIR ASIA BERHAD,DUBAI,AMRITSAR,13866,16281,0,0
2015,Q1,AIR AUSTRAL,DUBAI,BENGALURU,78210,84425,3068.4,5377
2015,Q1,AIR CHINA,DUBAI,CHENNAI,102190,118103,2803.4,5533.5
2015,Q1,AIR FRANCE,DUBAI,DELHI,218394,218530,3605.8,10927.5
2015,Q1,AIR MANAS,DUBAI,GOA,6236,7022,3.6,0
2015,Q1,AIR MAURITIUS,DUBAI,HYDERABAD,99989,112952,830.6,3323.7
2015,Q1,AIR ASTANA,DUBAI,JAIPUR,7208,8776,0,0
2015,Q1,AIR SEYCHELLES,DUBAI,KOCHI,99921,114833,478,3939.4
2015,Q1,ALL NIPPON AIRWAYS,DUBAI,KOLKATA,37283,41034,930.1,1832.7
2015,Q1,ARIANA AFGHAN,DUBAI,KOZHIKODE,78707,86289,57.1,2589.4
2015,Q1,ASIANA AIRLINES,DUBAI,LUCKNOW,20470,22064,0.1,34.5
2015,Q1,AUSTRIAN AIRLINES,DUBAI,MADURAI,11693,12702,0,0
2015,Q1,BANGKOK AIRWAYS,DUBAI,MANGALORE,35738,43350,0.1,96.7
2015,Q1,BHUTAN AIRLINES,DUBAI,MUMBAI,260038,300106,5551.6,13084.1
2015,Q1,BIMAN BANGLADESH,DUBAI,PUNE,4698,6112,0,0
2015,Q1,BRITISH AIRWAYS,DUBAI,TIRUCHIRAPALLY,13711,15124,0,0
2015,Q1,BUDHHA AIR,DUBAI,TRIVANDRUM,59586,71417,91.4,3222.3
2015,Q1,CATHAY PACIFIC,DUBAI,VISAKHAPATNAM,5003,4629,0.1,0
2015,Q1,CHINA AIRLINES LTD,DUSHANBE,DELHI,554,492,0,11.2
2015,Q1,CHINA EASTERN AIRLINES,FRANKFURT,BENGALURU,22765,22666,1939.5,1087.1
2015,Q1,CHINA SOUTHERN ,FRANKFURT,CHENNAI,22196,23348,1411.8,1101
2015,Q1,DELTA AIRLINES,FRANKFURT,DELHI,57758,58858,840.1,1883.5
2015,Q1,DRAGON AIR,FRANKFURT,HYDERABAD,0,0,249.1,1451.5
2015,Q1,DRUK AIR,FRANKFURT,KOLKATA,0,0,0,0
2015,Q1,EGYPT AIR,FRANKFURT,MUMBAI,24734,27909,4208.8,2026.1
2015,Q1,EL-AL-ISRAEL,FRANKFURT,PUNE,3546,3447,0,0
2015,Q1,EMIRATES AIRLINE,GUANGZHOU,DELHI,12982,16108,1547.9,495.4
2015,Q1,ETHIOPIAN AIRLINES,GUANGZHOU,MUMBAI,0,0,11.9,341.4
2015,Q1,ETIHAD AIRLINES,HAA DHAALU ATOLL,TRIVANDRUM,747,1309,0,0
2015,Q1,EVA AIRWAYS,HELNSKI,DELHI,13673,15886,685.9,1125.4
2015,Q1,FEDERAL EXPRESS,HO CHI MINH CITY,DELHI,977,943,0.7,51.6
2015,Q1,FINN AIR,HONG KONG,BENGALURU,18558,20974,848.8,766.3
2015,Q1,FLY DUBAI,HONG KONG,CHENNAI,15311,16903,2932.2,3405.8
2015,Q1,GULF AIR,HONG KONG,DELHI,62647,66144,11070,9977.5
2015,Q1,IRAN AIR,HONG KONG,HYDERABAD,7433,9261,593.3,780.7
2015,Q1,IRAQI AIRWAYS,HONG KONG,MUMBAI,46451,49294,3834,7342.6
2015,Q1,ISLAND AVIATION SERVICES,ISTANBUL,DELHI,23639,23738,561.3,1020.6
2015,Q1,JAPAN AIRLINES,ISTANBUL,MUMBAI,25242,28909,1130.8,1973.3
2015,Q1,KALITTA AIR,JEDDAH,BENGALURU,6224,6224,65.3,389.8
2015,Q1,KAM AIR,JEDDAH,CHENNAI,7694,9384,200.5,449.4
2015,Q1,KENYA AIRWAYS,JEDDAH,DELHI,22630,24021,83.1,841.9
2015,Q1,KLM AIRLINES,JEDDAH,HYDERABAD,18531,20901,24.4,411.8
2015,Q1,KOREAN AIR,JEDDAH,KOCHI,8562,9445,61.1,443.2
2015,Q1,KUWAIT AIRWAYS,JEDDAH,KOZHIKODE,37291,40961,43,954.7
2015,Q1,LUFTHANSA,JEDDAH,LUCKNOW,10024,13486,7,32.4
2015,Q1,MAHAN AIR,JEDDAH,MUMBAI,53255,53886,258.3,1040.5
2015,Q1,MALAYSIA AIRLINES,JOHANNESBERG,MUMBAI,8483,11916,52.6,644.2
2015,Q1,MALINDO AIRWAYS,KABUL,DELHI,37194,32721,96.7,676.4
2015,Q1,MARTIN AIR HOLLAND,KARACHI,DELHI,935,1814,2.3,4.8
2015,Q1,MIHIN LANKA,KARACHI,MUMBAI,2228,3581,15.7,95.7
2015,Q1,MYANMAR AIRLINES,KATHMANDU,DELHI,91764,86994,299.2,222.8
2015,Q1,NEPAL AIRLINES CORPORATION,KATHMANDU,KOLKATA,4671,5084,1.7,4.7
2015,Q1,OMAN AIR,KATHMANDU,MUMBAI,22835,25412,49.6,30.6
2015,Q1,PAK INTERNATIONAL,KATHMANDU,VARANASI,2299,4770,0,0
2015,Q1,QATAR AIRWATYS,KUALALUMPUR,BENGALURU,16290,18061,293.6,320.9
2015,Q1,REGENT AIRWAYS,KUALALUMPUR,CHENNAI,25227,31418,929.5,1130.9
