,YEAR,QUARTER,AIRLINE NAME,WEEK,ORIGIN,DEST,DEP_TIME,AIR_TIME,FLIGHTS,DISTANCE
228657,2019,1,AIR INDIA,5,Aberdeen,Minneapolis  ,1308,51,1,257
228660,2019,1,AIR INDIA EXPRESS,5,Aberdeen,Minneapolis  ,447,44,1,257
230514,2019,1,INDIGO,6,Aberdeen,Minneapolis  ,1312,45,1,257
230517,2019,1,JET AIRWAYS,6,Aberdeen,Minneapolis  ,447,43,1,257
232614,2019,1,SPICEJET,7,Aberdeen,Minneapolis  ,1318,52,1,257
232617,2019,1,AEROFLOT,7,Aberdeen,Minneapolis  ,453,46,1,257
234809,2019,1,AEROLOGIC,1,Aberdeen,Minneapolis  ,1307,,1,257
234812,2019,1,AIR ARABIA,1,Aberdeen,Minneapolis  ,447,48,1,257
236560,2019,1,AIR ASIA BERHAD,6,Aberdeen,Minneapolis  ,1306,49,1,257
236563,2019,1,AIR AUSTRAL,6,Aberdeen,Minneapolis  ,512,47,1,257
238755,2019,1,AIR CHINA,3,Aberdeen,Minneapolis  ,1333,54,1,257
238758,2019,1,AIR FRANCE,3,Aberdeen,Minneapolis  ,,41,1,257
240131,2019,1,AIR MANAS,6,Aberdeen,Minneapolis  ,1306,50,1,257
240134,2019,1,AIR MAURITIUS,6,Aberdeen,Minneapolis  ,500,39,1,257
242197,2019,1,AIR ASTANA,7,Aberdeen,Minneapolis  ,1316,55,1,257
242200,2019,1,AIR SEYCHELLES,7,Aberdeen,Minneapolis  ,450,40,1,257
45873,2019,1,ALL NIPPON AIRWAYS,2,Abilene,Dallas  ,833,34,1,158
45874,2019,1,ARIANA AFGHAN,3,Abilene,Dallas  ,945,33,1,158
45875,2019,1,ASIANA AIRLINES,4,Abilene,Dallas  ,830,32,1,158
45876,2019,1,AUSTRIAN AIRLINES,5,Abilene,Dallas  ,1615,31,1,158
45877,2019,1,BANGKOK AIRWAYS,6,Abilene,Dallas  ,837,36,1,158
45878,2019,1,BHUTAN AIRLINES,7,Abilene,Dallas  ,840,37,1,158
45879,2019,1,BIMAN BANGLADESH,1,Abilene,Dallas  ,828,39,1,158
45880,2019,1,BRITISH AIRWAYS,2,Abilene,Dallas  ,1008,30,1,158
45881,2019,1,BUDHHA AIR,3,Abilene,Dallas  ,832,35,1,158
45882,2019,1,CATHAY PACIFIC,4,Abilene,Dallas  ,832,38,1,158
45883,2019,1,CHINA AIRLINES LTD,5,Abilene,Dallas  ,834,44,1,158
45884,2019,1,CHINA EASTERN AIRLINES,6,Abilene,Dallas  ,834,43,1,158
45885,2019,1,CHINA SOUTHERN ,7,Abilene,Dallas  ,834,59,1,158
45886,2019,1,DELTA AIRLINES,1,Abilene,Dallas  ,828,40,1,158
45887,2019,1,DRAGON AIR,2,Abilene,Dallas  ,835,42,1,158
45888,2019,1,DRUK AIR,3,Abilene,Dallas  ,836,46,1,158
45889,2019,1,EGYPT AIR,4,Abilene,Dallas  ,829,41,1,158
45890,2019,1,EL-AL-ISRAEL,5,Abilene,Dallas  ,837,29,1,158
263392,2019,1,EMIRATES AIRLINE,6,Adak Island,Anchorage  ,1724,139,1,1192
265969,2019,1,ETHIOPIAN AIRLINES,3,Adak Island,Anchorage  ,1659,148,1,1192
268021,2019,1,ETIHAD AIRLINES,3,Adak Island,Anchorage  ,1703,152,1,1192
270209,2019,1,EVA AIRWAYS,6,Adak Island,Anchorage  ,1736,147,1,1192
272938,2019,1,FEDERAL EXPRESS,3,Adak Island,Anchorage  ,1704,145,1,1192
501333,2019,1,FINN AIR,6,Adak Island,Anchorage  ,1735,150,1,1192
503921,2019,1,FLY DUBAI,3,Adak Island,Anchorage  ,1718,154,1,1192
505925,2019,1,GULF AIR,6,Adak Island,Anchorage  ,1714,145,1,1192
508507,2019,1,IRAN AIR,3,Adak Island,Anchorage  ,1650,148,1,1192
211067,2019,1,IRAQI AIRWAYS,6,Aguadilla,Fort Lauderdale  ,416,139,1,982
211794,2019,1,ISLAND AVIATION SERVICES,7,Aguadilla,Fort Lauderdale  ,415,140,1,982
212589,2019,1,JAPAN AIRLINES,1,Aguadilla,Fort Lauderdale  ,410,132,1,982
214781,2019,1,KALITTA AIR,2,Aguadilla,Fort Lauderdale  ,110,125,1,982
215627,2019,1,KAM AIR,3,Aguadilla,Fort Lauderdale  ,117,130,1,982
216491,2019,1,KENYA AIRWAYS,4,Aguadilla,Fort Lauderdale  ,128,134,1,982
217338,2019,1,KLM AIRLINES,5,Aguadilla,Fort Lauderdale  ,433,129,1,982
218118,2019,1,KOREAN AIR,6,Aguadilla,Fort Lauderdale  ,420,133,1,982
218905,2019,1,KUWAIT AIRWAYS,7,Aguadilla,Fort Lauderdale  ,414,128,1,982
219747,2019,1,LUFTHANSA,1,Aguadilla,Fort Lauderdale  ,414,135,1,982
220546,2019,1,MAHAN AIR,2,Aguadilla,Fort Lauderdale  ,538,136,1,982
221322,2019,1,MALAYSIA AIRLINES,3,Aguadilla,Fort Lauderdale  ,422,137,1,982
445812,2019,1,MALINDO AIRWAYS,4,Aguadilla,Fort Lauderdale  ,416,131,1,982
446615,2019,1,MARTIN AIR HOLLAND,5,Aguadilla,Fort Lauderdale  ,439,121,1,982
447338,2019,1,MIHIN LANKA,6,Aguadilla,Fort Lauderdale  ,434,124,1,982
448057,2019,1,MYANMAR AIRLINES,7,Aguadilla,Fort Lauderdale  ,451,138,1,982
448845,2019,1,NEPAL AIRLINES CORPORATION,1,Aguadilla,Fort Lauderdale  ,416,123,1,982
